Timestamp,FrameID,Speed,YawRate,Signal1,Signal2
100000000.000000,100,60.00,0.00,0,0.00
100027655.861545,101,60.04,0.42,0,0.00
100055384.838046,102,60.08,-0.09,0,0.00
100083087.658570,103,60.12,-0.84,0,0.00
100110768.931762,104,60.16,0.77,0,0.00
100138467.175050,105,60.20,0.29,0,0.00
100166209.079623,106,60.24,0.15,0,0.00
100193929.797784,107,60.28,-1.00,0,0.00
100221664.655931,108,60.60,-0.79,0,0.00
100249404.285886,109,60.64,-0.95,0,0.00
100277146.860677,110,60.68,0.06,0,0.00
100304830.393728,111,60.72,0.82,0,0.00
100332533.653462,112,60.76,0.56,0,0.00
100360274.423242,113,60.80,-0.83,0,0.00
100387934.224830,114,60.84,0.16,0,0.00
100415661.918629,115,61.16,-0.72,0,0.00
100443327.093446,116,61.20,0.47,0,0.00
100471047.387921,117,61.24,-0.38,0,0.00
100498739.126144,118,61.28,-0.85,0,0.00
100526472.242349,119,61.32,0.60,0,0.00
100554128.579569,120,61.36,0.57,0,0.00
100581845.546597,121,61.40,-0.62,0,0.00
100609555.548215,122,61.72,0.56,0,0.00
100637235.934384,123,61.76,0.42,0,0.00
100664908.923928,124,61.80,-0.93,0,0.00
100692565.234676,125,61.84,0.71,0,0.00
100720261.736560,126,61.88,-0.40,0,0.00
100747926.315692,127,61.92,-0.91,0,0.00
100775630.343249,128,61.96,0.01,0,0.00
100803325.592379,129,62.28,-0.32,0,0.00
100830995.981585,130,62.32,0.46,0,0.00
100858663.300695,131,62.36,0.33,0,0.00
100886361.638459,132,62.40,-0.21,0,0.00
100914076.081487,133,62.44,0.02,0,0.00
100941787.369201,134,62.48,0.93,0,0.00
100969534.246822,135,62.52,0.24,0,0.00
100997242.433067,136,62.84,0.77,0,0.00
101024980.355624,137,62.88,0.21,0,0.00
101052726.598727,138,62.92,-0.94,0,0.00
101080469.168653,139,62.96,-0.45,0,0.00
101108148.745590,140,63.00,0.98,0,0.00
101135814.805974,141,63.04,-0.71,0,0.00
101163550.027080,142,63.08,0.71,0,0.00
101191263.632998,143,63.12,0.80,0,0.00
101218948.665445,144,63.44,0.45,0,0.00
